Country,ISO_code,Region,Programme,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,AFG,EMRO,Pentavalent,,,,,,,,,16242858.11,11590121.74,8787571.23,8341589.95,5980310.23,6353823.37,4205407.43,4138221.5,
Afghanistan,AFG,EMRO,Pneumococcal,,,,,,,,,,,,,5723713.03,28046401.18,20537667.08,23668212.5,4860280
Afghanistan,AFG,EMRO,DTP,,,,,,3227945.61,5271887.96,1403799.59,,,,,,,,,
Afghanistan,AFG,EMRO,IPV,,,,,,,,,,,,,,,1424155.23,,416700
Albania,ALB,EURO,HepB,39000,106889,52028,53093,112158.62,40223.63,,,,,,,,,,,
Albania,ALB,EURO,Hib,,,,,,,,0,,,,,,,,,
Albania,ALB,EURO,Pentavalent,,,,,,,,,516314.22,339345.73,357534.96,324555.21,169520.56,,,,
Angola,AGO,CENTRAL AFRICA,Pentavalent,,,,,,9955433,4979342.91,9164262.59,11160833.95,8096165.1,4671888.93,3248895.69,2427931.15,465234.57,870975.26,,
Angola,AGO,CENTRAL AFRICA,Pneumococcal,,,,,,,,,,,,11437450.52,4824927.87,8059273.31,4876003.77,2256509.75,
Angola,AGO,CENTRAL AFRICA,Rotavirus,,,,,,,,,,,,,,4469600.18,1598490.52,1585064.93,
Angola,AGO,CENTRAL AFRICA,IPV,,,,,,,,,,,,,,,65001.0000000002,63151.75,
Armenia,ARM,EURO,HepB,56618.75,81933.25,63642,53728.75,112376.83,39502.44,75675.91,46981.14,,,,,,,,,
Armenia,ARM,EURO,Pentavalent,,,,,,,,,279114.6,408870.4,356589.26,344136.69,301582.36,169556.84,94339.64,,
Armenia,ARM,EURO,Pneumococcal,,,,,,,,,,,,,0,721865.51,35114.56,428183.44,135990
Armenia,ARM,EURO,Rotavirus,,,,,,,,,,,,242314.19,75568.72,94180.43,55210.97,,
Armenia,ARM,EURO,IPV,,,,,,,,,,,,,,,24734.05,59147.75,
Azerbaijan,AZE,EURO,HepB,87193,120616,109270,139430,231833.72,176907.62,85212.37,57369.16,,,,,,,,,
Azerbaijan,AZE,EURO,Pentavalent,,,,,,,,,,,1573422.15,456872.65,1054021.99,572643.94,237581.48,,
Azerbaijan,AZE,EURO,Pneumococcal,,,,,,,,,,,,,295158.66,2773613.12,934207.06,1686627.87,
Azerbaijan,AZE,EURO,DTP,0,,,,,,,,,,,,,,,,
Azerbaijan,AZE,EURO,IPV,,,,,,,,,,,,,,,292013.25,388336.25,201520
Bangladesh,BGD,SEARO,HepB,,72712,897791,2333440.73,5072935.57,3974913.78,6296518.4,1576154,,,,,,,,,
Bangladesh,BGD,SEARO,Measles,,,,,,,,,,,,1165358.93,2705158.8,1673179.08,1715983.61,1227581.48,
Bangladesh,BGD,SEARO,Measles-Rubella,,,,,,,,,,,,,35781812.34,,,,
Bangladesh,BGD,SEARO,Pentavalent,,,,,,,,,54567698.1,32683022.2,30697252.78,27371318.41,26980299.44,11484941.11,24043713.58,20230150,1041000
Bangladesh,BGD,SEARO,Pneumococcal,,,,,,,,,,,,,,12078401.08,37174576,45035170.54,15452000
Bangladesh,BGD,SEARO,IPV,,,,,,,,,,,,,,,9660309.85,0,
Benin,BEN,WEST AFRICA,HepB,,313229,320322,227190,99895,,,,,,,,,,,,
Benin,BEN,WEST AFRICA,Pentavalent,,,,,3148230.54,5024031.3568,5544036.39,3341420.6,4669551.19,3018920.46,2950889.15,2231734.45,2284039.57,1877828.24,832193.53,1035606,
Benin,BEN,WEST AFRICA,Pneumococcal,,,,,,,,,,,5227791.95,9363326.78,8683129.83,7168863.75,4050859.46,6559424,
Benin,BEN,WEST AFRICA,Yellow Fever,,186308,157532,109075,248858.13,700563.3032,237238.9,250225.18,448184.72,429342.94,506927.65,14023.08,561895.78,462273.96,328640.14,503962.7,
Benin,BEN,WEST AFRICA,IPV,,,,,,,,,,,,,,,535352.48,456796.5,
Bhutan,BTN,SEARO,Pentavalent,,,,,,,,,115877.57,,77848.3,116830.09,88477.91,57963,31843.82,,
Bhutan,BTN,SEARO,DTP,,,80428,61692,67224.33,105127.52,101780.38,100046.27,60142.18,17113.71,10802.13,,,,,,
Bhutan,BTN,SEARO,IPV,,,,,,,,,,,,,,,29399.37,37549,
Bolivia,BOL,PAHO,Pneumococcal,,,,,,,,,,,,,900363.16,4363539.45,3349436.86,1161503.5,618540
Bolivia,BOL,PAHO,Rotavirus,,,,,,,,1753183,3262000,2814500,3018500,1192500,,,,,
Bolivia,BOL,PAHO,IPV,,,,,,,,,,,,,,,255500,977500,571500
Bosnia & Herz,BIH,EURO,HepB,,,70000,25961.79,31218.25,44010.73,53128.54,36796.17,1563.3,,,,,,,,
Bosnia & Herz,BIH,EURO,Hib,,,,,,,415532.04,346675.21,367233.13,358200.25,362400.9,,,,,,
Burkina Faso,BFA,WEST AFRICA,Measles,,,,,,,,,,,,,,138445.99,309703.86,21752,
Burkina Faso,BFA,WEST AFRICA,Measles-Rubella,,,,,,,,,,,,,,6000964.54,,,
Burkina Faso,BFA,WEST AFRICA,Pentavalent,,,,,,9104667.41,8540710.67,9726532.03,9114936.75,5870486.61,2454235.4,4791387.37,2607836.92,3698262.77,3437104.12,2099532.5,
Burkina Faso,BFA,WEST AFRICA,Pneumococcal,,,,,,,,,,,,,4787546.34,16001548.29,12540758.41,10461775.25,1322740
Burkina Faso,BFA,WEST AFRICA,Rotavirus,,,,,,,,,,,,,2490635.54,9479163.75,7978633.87,8406775,1449050
Burkina Faso,BFA,WEST AFRICA,IPV,,,,,,,,,,,,,,,34823.23,52074.25,
Burkina Faso,BFA,WEST AFRICA,Meningitis A,,,,,,,,,,,,,,,,,534160
Burundi,BDI,CENTRAL AFRICA,HepB,,,,460000,,,,,,,,,,,,,
Burundi,BDI,CENTRAL AFRICA,Measles,,,,,,,,,,,,69717,101996.55,70786.45,72330.26,116355.2,
Burundi,BDI,CENTRAL AFRICA,Measles-Rubella,,,,,,,,,,,,,,,,3027951.3,
Burundi,BDI,CENTRAL AFRICA,Pentavalent,,,,,4119050.64,3373032.29,3274400.4,4187285.75,4053810.09,3082674.81,2681224.88,2253169.18,1713864.65,1844640.83,2337125.68,1016442.25,
Burundi,BDI,CENTRAL AFRICA,Pneumococcal,,,,,,,,,,,4351436.67,7136414.98,7302965.61,7177682.97,7808204.34,5526870.45,1348240
Burundi,BDI,CENTRAL AFRICA,Rotavirus,,,,,,,,,,,,,154358.45,2064827.21,1648306.54,1467600.66,810983.61
Burundi,BDI,CENTRAL AFRICA,DTP,,,,4727593.61,,,,,,,,,,,,,
Burundi,BDI,CENTRAL AFRICA,IPV,,,,,,,,,,,,,,,103155.75,676717.5,
Cambodia,KHM,WPRO,Measles,,,,,,,,,,,,367463.93,362891.09,167321.8,,204988.95,
Cambodia,KHM,WPRO,Measles-Rubella,,,,,,,,,,,,,3435508.68,,,,
Cambodia,KHM,WPRO,Pentavalent,,,,,,,,,,4693868.86,3737781.26,3310346.91,2972819.61,1589511.42,1501425.22,2416701,645400
Cambodia,KHM,WPRO,Pneumococcal,,,,,,,,,,,,,,,5808393.33,4437790.15,1695000
Cambodia,KHM,WPRO,DTP,134087,147132.11,599871,930298,2068894.13,2284346.8,841994.34,1031829.31,,,,,,,,,
Cambodia,KHM,WPRO,IPV,,,,,,,,,,,,,,,258374.96,784125.25,
Cameroun,CMR,CENTRAL AFRICA,Measles-Rubella,,,,,,,,,,,,,,,6504937.85,,
Cameroun,CMR,CENTRAL AFRICA,Pentavalent,,,,,,,,4642376.13,5118830.9,6012315.5,5505461.13,5459947.56,2796278.31,3025632.61,3422710.12,2902231.91,
Cameroun,CMR,CENTRAL AFRICA,Pneumococcal,,,,,,,,,,,11094575.74,17335333.13,16312978.52,15432256.86,12387553.77,7672673.25,
Cameroun,CMR,CENTRAL AFRICA,Rotavirus,,,,,,,,,,,,,,3914929.64,2444256.53,3118404.35,
Cameroun,CMR,CENTRAL AFRICA,DTP,,,,,3658317.11,3334982.94,1655685.15,351689.64,,,,,,,,,
Cameroun,CMR,CENTRAL AFRICA,Yellow Fever,,,,890133,601877.89,594041,467326.52,254118.16,617638.9,473559.29,711067.04,526964.36,579778.57,202101.76,243992.04,321209.47,
Cameroun,CMR,CENTRAL AFRICA,IPV,,,,,,,,,,,,,,,1203374.87,301626.54,
CAR,CAF,CENTRAL AFRICA,Pentavalent,,,,,,,,990332.29,1790026.55,1222066.06,881340.8,764192.97,313825.71,695004.04,353109.36,771480.25,
CAR,CAF,CENTRAL AFRICA,Pneumococcal,,,,,,,,,,,2195893.6,2678350.41,2707734.68,2448199.01,,1452307.25,
CAR,CAF,CENTRAL AFRICA,Rotavirus,,,,,,,,,,,,,,,-2.91038304567337E-11,0,
CAR,CAF,CENTRAL AFRICA,Yellow Fever,,,86324,143836.98,92127.3,90419.17,76380.47,112414.38,171410.86,161531.72,184630.5,114226.35,89431.76,91098.91,118483.76,180745.4,187740.4
CAR,CAF,CENTRAL AFRICA,IPV,,,,,,,,,,,,,,,66459.6,100880.5,
CAR,CAF,CENTRAL AFRICA,Meningitis A,,,,,,,,,,,,,,,,,103302.75
Chad,TCD,CENTRAL AFRICA,Pentavalent,,,,,,,,2389764.82,4649938.09,3385606.98,2484950.5,3106165.77,1752722.62,3691057.61,3173253.71,3075942.25,
Chad,TCD,CENTRAL AFRICA,Yellow Fever,,,,218202,117398.61,227252.36,228431.99,258863.15,288878.3,258495.8,495557.84,319669.62,258565.14,633808.14,570908.56,768528.05,
Chad,TCD,CENTRAL AFRICA,IPV,,,,,,,,,,,,,,,483997.72,1393786.25,
Chad,TCD,CENTRAL AFRICA,Meningitis A,,,,,,,,,,,,,,,,,517524
China,CHN,WPRO,HepB,,4390638,4390000,4390638,4390638,4390638,,,,,,,,,,,
Comoros,COM,SOUTH AFRICA,HepB,,,31366,15136.74,,,,,,,,,,,,,
