Country Name,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,"Life expectancy at birth, total (years)",73.7206097561,73.782902439,73.8652439024,73.9685609756,74.0908536585,74.2280731707,74.376195122,74.5267560976,74.6757317073,74.8181463415,74.9535365854,75.0813902439,75.2057560976,75.3286585366,75.451097561,,
Andorra,"Life expectancy at birth, total (years)",,,,,,,,,,,,,,,,,
Afghanistan,"Life expectancy at birth, total (years)",55.1258780488,55.4875365854,55.857195122,56.2352926829,56.6263170732,57.0272439024,57.4325609756,57.8338292683,58.2250243902,58.6036829268,58.9708292683,59.3279512195,59.6796097561,60.0282682927,60.3744634146,,
Angola,"Life expectancy at birth, total (years)",45.2047804878,45.9731463415,46.7117317073,47.3931707317,48.0035121951,48.538804878,49.0070487805,49.4357317073,49.8473902439,50.2510243902,50.6541707317,51.0593170732,51.464,51.8661707317,52.2668780488,,
Albania,"Life expectancy at birth, total (years)",74.2715365854,74.7325609756,75.1546097561,75.5232926829,75.8312195122,76.0816097561,76.2861219512,76.4702926829,76.6520731707,76.8403658537,77.0369512195,77.2405853659,77.4439756098,77.6404634146,77.8304634146,,
Arab World,"Life expectancy at birth, total (years)",67.6514348947,67.8846698167,68.1026251612,68.3135558758,68.5327227982,68.7535209692,68.9831885621,69.2070082278,69.417182777,69.6189294898,69.813024804,69.9930095159,70.17366957,70.3698056783,70.5679019106,,
United Arab Emirates,"Life expectancy at birth, total (years)",74.4515365854,74.7128780488,74.9682682927,75.2172195122,75.4572682927,75.6863902439,75.9045365854,76.1111707317,76.3077560976,76.4947804878,76.6752439024,76.851195122,77.0241463415,77.1956341463,77.3681707317,,
Argentina,"Life expectancy at birth, total (years)",73.755804878,73.9603170732,74.1557804878,74.3412682927,74.5187804878,74.687804878,74.849902439,75.0090487805,75.1662682927,75.3245609756,75.4849756098,75.6490487805,75.8162439024,75.986097561,76.1586097561,,
Armenia,"Life expectancy at birth, total (years)",71.2765853659,71.7558292683,72.2016097561,72.6095853659,72.9737560976,73.2873902439,73.5482682927,73.7646585366,73.945,74.0958292683,74.2263414634,74.3428292683,74.452097561,74.5613658537,74.6757073171,,
American Samoa,"Life expectancy at birth, total (years)",,,,,,,,,,,,,,,,,
